text,label
Αγαπητοί κύριοι καλησπέρα σας σήμερα 31/1 2022 και ώρα 7:30  το απόγευμα η κόρη μου ετών 12.5  βρισκόταν στο τέρμα του 122 στην Σαρωνίδα με προορισμό το Λαγονήσι το δρομολόγιο των 7:40 δεν εκτελέστηκε ποτέ στη θέση του βρισκόταν το υπ αριθμόν ΧΕΗ 8394 λεωφορείο ΣΤΑΘΜΕΥΜΈΝΟ ΈΜΠΡΟΣΘΕΝ ΤΗΣ ΤΆΣΗΣ ΠΡΑΓΜΑΤΟΠΟΙΏΝΤΑΣ ΚΑΤΆ ΤΑ ΛΕΓΌΜΕΝΑ ΤΟΥ ΟΔΗΓΟΎ ΔΙΆΛΕΙΜΜΑ ΟΔΗΓΌΣ ΑΓΕΝΈΣΤΑΤΟΣ ΌΤΑΝ ΡΩΤΉΘΗΚΕ ΑΠΌ ΤΗΝ ΚΌΡΗ ΜΟΥ ΓΙΑ ΤΟ ΤΙ ΏΡΑ ΘΑ ΦΎΓΕΙ ΑΡΚΈΣΤΗΚΕ ΣΤΟ ΝΑ ΠΕΙ ΣΕ 45 ΛΕΠΤΆ ΈΧΟΝΤΑΣ ΚΛΕΙΣΤΈΣ ΤΙΣ ΠΌΡΤΕΣ ΚΑΙ ΑΦΉΝΟΝΤΑΣ ΤΟΝ ΚΌΣΜΟ ΣΤΟ ΚΡΎΟ ΕΝΏ Ο ΟΔΗΓΌΣ ΒΡΙΣΚΌΤΑΝ ΜΕ ΆΛΛΑ ΔΎΟ ΆΤΟΜΑ ΕΝΤΌΣ ΤΟΥ ΛΕΩΦΟΡΕΊΟΥ ΚΑΙ ΜΊΛΑΓΕ ΕΊΜΑΙ ΟΔΗΓΌΣ ΤΑΞΊ ΠΡΑΓΜΑΤΟΠΟΊΗΣΑ ΤΟ ΔΡΟΜΟΛΌΓΙΟ ΒΆΡΚΙΖΑ ΣΑΡΩΝΊΔΑ ΧΩΡΊΣ ΤΟ ΔΡΌΜΟ ΜΟΥ ΝΑ ΣΥΝΑΝΤΉΣΩ ΤΟ 122 ΕΝΏ ΑΡΚΕΤΆ ΛΕΠΤΆ ΑΡΓΌΤΕΡΑ ΤΟ ΥΠ ΑΡΙΘΜΌΝ ΧΕΗ8390 ΠΡΑΓΜΑΤΟΠΟΊΗΣΕ ΚΑΝΟΝΙΚΆ ΤΟ ΔΡΟΜΟΛΌΓΙΟ ΤΟΥ ΣΤΙΣ 8:05 ΜΕ ΕΥΓΕΝΈΣΤΑΤΟ ΟΔΗΓΌ ΑΓΑΠΗΤΟΊ ΚΎΡΙΟΙ ΤΟΥ ΟΑΣΑ ΚΑΙ ΤΗΣ ΌΣΟΙ ΕΊΝΑΙ ΠΟΛΙΤΙΚΉ ΣΑΣ ΝΑ ΑΦΉΝΕΤΕ ΠΑΙΔΙΆ ΜΈΣΑ ΣΤΟ ΚΡΎΟ ΑΚΌΜΑ ΚΑΙ ΑΝ ΤΟ ΛΕΩΦΟΡΕΊΟ ΚΆΝΕΙ ΔΙΆΛΕΙΜΜΑ Η ΚΌΡΗ ΜΟΥ ΠΟΥ ΈΧΑΣΕ ΤΟ ΜΆΘΗΜΑ ΣΤΟ ΛΑΓΟΝΉΣΙ ΚΑΙ ΠΟΥ ΕΓΏ ΈΤΡΕΞΑ ΝΑ ΠΡΟΛΆΒΩ ΘΑ ΜΕ ΑΠΟΖΗΜΙΏΣΕΤΕ ΈΧΕΤΕ ΣΚΟΠΌ ΝΑ ΦΤΙΆΞΕΤΕ ΤΗ ΓΡΑΜΜΉ 122 ΠΟΤΈ ΜΕ ΜΕΓΆΛΗ ΑΓΑΝΆΚΤΗΣΗ ΜΆΓΚΑΣ ΚΩΝΣΤΑΝΤΊΝΟΣ ΣΤΗ ΔΙΆΘΕΣΉ ΣΑΣ ΦΩΤΟΓΡΑΦΊΑ ΜΕ ΤΟ ΛΕΩΦΟΡΕΊΟ ΝΑ ΚΆΝΕΙ ΔΙΆΛΕΙΜΜΑ ΜΠΡΟΣΤΆ ΣΤΗ ΣΤΆΣΗ ΤΟΥ ΤΈΡΜΑΤΟΣ ΚΆΤΙ ΠΟΥ ΚΑΤΆ ΤΗ ΓΝΏΜΗ ΜΟΥ ΕΊΝΑΙ ΑΠΑΡΆΔΕΚΤΗ,0
"Σταθμός Κεραμεικός, γραμμή 3 . Επιχείρησα να ανανεώσω την κάρτα μεταφοράς με επιδότηση, καθότι τυγχάνω άνεργος, αλλά το μηχάνημα μου έβγαζε αδυναμία επιδότησης (κάτι σε Ε14 νομίζω). Ζήτησα πληροφορίες από την Σταθμάρχη και μου πρότεινε να πάω σε εκδοτήριο, το πλησιέστερο στο Μοναστηράκι. Πήγα με τα ποδιά καθώς η κάρτα μου δεν λειτουργούσε. Η υπάλληλος μου είπε ότι σήμερα αυτή η δυσλειτουργία είχε εμφανιστεί σε άλλα 50 με 60 περιστατικά ανέργων, κατόχων κάρτας. Δεν μπορούσε να λύσει το πρόβλημα και αναγκάστηκα να επιστρέψω με τα πόδια σπίτι μου. Έχω ανανεώσει την κάρτα ανεργίας μου μέχρι και τον Φεβρουάριο του 2022, οπότε είμαι καλυμμένος από την πλευρά του οργανισμού αυτού. Επιθυμώ να λύσετε το πρόβλημα αυτό και να μην συνεχιστεί τις επόμενες μέρες. Για κάθε άνεργο το έξοδο μεταφοράς μετράει σε μεγάλο βαθμό στην καθημερινότητά του. Ευχαριστώ",1
"Πινακιδα οχηματος ΧΕΗ 8345 
αριθμος οχηματος 3213

1.Ο οδηγος δεν φοραγε ΚΑΘΟΛΟΥ μασκα
2.Μιλουσε καθολη τη διαρκεια της διαδρομης στο κινητο 
3.Περασε με κοκκινο το φαναρι στη γεφυρα της Μεταμορφωσης
Απαραδεκτα και τα 3!!!!!",2
"Ο Οδηγός δεν παραλάμβανε επιβάτες πριν την Παπαδιαμαντοπούλου προτού φτάσει στις στάσεις έκλεινε την ταμπέλα σηματοδότησης του λεωφορείο ασχολούταν με το κινητό του και δεν φορούσε μάσκα .  ο αριθμός του λεωφορείου είναι ο ΥΝΕ 9922, ακριβής ώρα αποβίβασης καθέτου Ακαδημίας 13.41 και έφυγε τρέχοντας.",3
"Σήμερα στις 06:20 π.μ., το δρομολόγιο του 046 προς Μουσείο  είχε “ φρακάρει” στη συμβολή των οδών Ι. Βαρβάκη και Βαλτινών λόγω σταθμευμένων οχημάτων.
Ενώ παλαιότερα υπήρχε  πινακίδα που απαγόρευε την στάθμευση λόγω στροφής λεωφορείου, έχει πλέον αφαιρεθεί , και υπάρχει μόνο πινακίδα που απαγορεύει την στάση και την στάθμευση.
Αναγκάστηκα να  προχωρήσω με τα πόδια και να αργήσω πάλι στις υποχρεώσεις μου.
Μήπως να επαναφέρετε την πινακίδα, μαζί με το παγκάκι της στάσης Βαλτινών;;;;
Φτάνει πια με την ταλαιπωρία επειδή έτσι του ήρθε κάποιου. Πόσο επιπόλαιοι πια;;;

Κ. Σακελλαρίδου",4
"Καλησπέρα σας
Την 13/1/22 έκδωσα το ειδικό εισιτήριο πέντε ημερών αξίας 8,20 ευρώ (εάν την χρειαστείτε, την απόδειξη της συναλλαγής και το εισιτήριο τα κατέχω) με αριθμό εισιτηρίου F804F8004Α286Ε84. Την 24/1/22 το ενεργοποίησα για πρώτη φορά στις 06:40 κατά την είσοδο μου στον σταθμό ΚΑΝΤΖΑ-ΠΑΙΑΝΙΑ και εξυπηρετήθηκα κανονικά πηγαίνοντας στον προορισμό μου. Το ίδιο και κατά την επιστροφή περί τις 09:55, που απλώς αναγκάστηκα στο σταθμό Δουκίσσης Πλακεντίας, να κάνω μετεπιβίβαση στον Προαστιακό για να φτάσω στο σταθμό ΚΑΝΤΖΑ-ΠΑΙΑΝΙΑ. Τις υπόλοιπες ημέρες και έως και την Τετάρτη 26/1/22 δεν υπήρχε δυνατότητα εξυπηρέτησης μου από τον σταθμό ΚΑΝΤΖΑ-ΠΑΙΑΝΙΑ καθώς δεν λειτουργούσε. Την Παρασκευή 28/1/22 που ξανά χρησιμοποίησα το εισιτήριο διαπίστωσα ότι έγγραφε υπόλοιπο μια ημέρα. Εκτιμώ ότι δεν θα έπρεπε να υπάρχει χρέωση, για τις ημέρες που δεν μπορούσε το εν λόγω εισιτήριο πέντε ημερών να παρέχει τις 24ωρες υπηρεσίες, για τις οποίες το είχα εκδώσει. Παρακαλώ τις ενέργειές σας για την αποκατάσταση με την έκδοση αντίστοιχου εισιτήριου τριών ημέρων που ήταν και οι ημέρες που δεν εξυπηρετήθηκα ή οποίας άλλης εσείς αντίστοιχης λύσης προτείνεται. Επιπροσθέτως παρακαλώ για την εξεύρεσης λύσης για την αντιμετώπιση αντίστοιχων προβλημάτων με τα εισιτήρια αυτού του τύπου στο μέλλον.",1
Το δρομολόγιο των 8:26 του 842 αργεί επανειλημμένως,5
"τα δρομολόγια των 6,45 και 7,05 απο Παιδων προς Μαρουσι, δεν περασαν απο την σταση Λυρακου.
δεν υπαρχει στις ανακοινωσεις τροποποίηση δρομολογιών
απο την σταση ΝΙΕΝ εφυγα με διερχομενο ταξι για την εργασία μου
σε τηλεφωνημα μου στι 8,12 στο 11185 με ενημερωσαν οτι τα δρομολογια εγιναν κανονικα.

""ΠΑΡΑΚΑΛΩ ΓΙΑ ΤΗΝ ΑΠΑΝΤΗΣΗ ΣΑΣ, ΤΟ ΛΕΩΦΟΡΕΙΟ ΔΕΝ ΕΙΝΑΙ ΑΟΡΑΤΟ ΦΑΝΤΑΣΜΑ ΠΟΥ ΠΕΡΑΣΕ ΑΠΟ ΜΠΡΟΣΤΑ ΜΟΥ ΚΑΙ ΔΕΝ ΤΟ ΕΙΔΑ""",6
"Καλημερα μπορειτε να με ενημερωσετε αν διενεργουνται τα δρομολογια?
Ευχαριστω",7
"Η ώρα δεν είναι ακριβής όμως το συγκεκριμένο όχημα κατευθυνόταν προς Χαλάνδρι και ήταν στον σταθμό Παρίτσι, Νέο Ψυχικό. Έκανα σήμα στον οδηγό να σταματήσει το τρόλεϊ, ενώ φορούσα μάσκα και είχα την κάρτα μου, ο οδηγός επιβράδυνε το όχημα όμως δεν σταμάτησε. Μάλιστα, ενώ επιβράδυνε το όχημα, και εγώ έτρεχα να προλάβω την πόρτα, ο οδηγός επιτάχυνε και έφυγε από την στάση. Δεν με ενδιαφέρει αν σκοπεύετε να πειθαρχίσετε τον οδηγό ή όχι, παρόλα αυτα θα χρειαστεί να υπενθυμίσετε πως αυτή η συμπεριφορά δεν είναι αποδεκτή και ότι πρέπει να σταματάει στις στάσεις στις οποίες έχει δοθεί σήμα από επιβάτη για να σταματήσει. Αυτή η απότομη επιβράδυνση και επιτάχυνση θα μπορούσε να προκαλέσει ατύχημα στο μέλλον, παρακαλώ κάντε κάτι γιαυτό. Ευχαριστώ πολύ.",8
