,init_text,SOS,ents
0,Αγαπητοί κύριοι καλησπέρα σας σήμερα 31/1 2022 και ώρα 7:30  το απόγευμα η κόρη μου ετών 12.5  βρισκόταν στο τέρμα του 122 στην Σαρωνίδα με προορισμό το Λαγονήσι το δρομολόγιο των 7:40 δεν εκτελέστηκε ποτέ στη θέση του βρισκόταν το υπ αριθμόν ΧΕΗ 8394 λεωφορείο ΣΤΑΘΜΕΥΜΈΝΟ ΈΜΠΡΟΣΘΕΝ ΤΗΣ ΤΆΣΗΣ ΠΡΑΓΜΑΤΟΠΟΙΏΝΤΑΣ ΚΑΤΆ ΤΑ ΛΕΓΌΜΕΝΑ ΤΟΥ ΟΔΗΓΟΎ ΔΙΆΛΕΙΜΜΑ ΟΔΗΓΌΣ ΑΓΕΝΈΣΤΑΤΟΣ ΌΤΑΝ ΡΩΤΉΘΗΚΕ ΑΠΌ ΤΗΝ ΚΌΡΗ ΜΟΥ ΓΙΑ ΤΟ ΤΙ ΏΡΑ ΘΑ ΦΎΓΕΙ ΑΡΚΈΣΤΗΚΕ ΣΤΟ ΝΑ ΠΕΙ ΣΕ 45 ΛΕΠΤΆ ΈΧΟΝΤΑΣ ΚΛΕΙΣΤΈΣ ΤΙΣ ΠΌΡΤΕΣ ΚΑΙ ΑΦΉΝΟΝΤΑΣ ΤΟΝ ΚΌΣΜΟ ΣΤΟ ΚΡΎΟ ΕΝΏ Ο ΟΔΗΓΌΣ ΒΡΙΣΚΌΤΑΝ ΜΕ ΆΛΛΑ ΔΎΟ ΆΤΟΜΑ ΕΝΤΌΣ ΤΟΥ ΛΕΩΦΟΡΕΊΟΥ ΚΑΙ ΜΊΛΑΓΕ ΕΊΜΑΙ ΟΔΗΓΌΣ ΤΑΞΊ ΠΡΑΓΜΑΤΟΠΟΊΗΣΑ ΤΟ ΔΡΟΜΟΛΌΓΙΟ ΒΆΡΚΙΖΑ ΣΑΡΩΝΊΔΑ ΧΩΡΊΣ ΤΟ ΔΡΌΜΟ ΜΟΥ ΝΑ ΣΥΝΑΝΤΉΣΩ ΤΟ 122 ΕΝΏ ΑΡΚΕΤΆ ΛΕΠΤΆ ΑΡΓΌΤΕΡΑ ΤΟ ΥΠ ΑΡΙΘΜΌΝ ΧΕΗ8390 ΠΡΑΓΜΑΤΟΠΟΊΗΣΕ ΚΑΝΟΝΙΚΆ ΤΟ ΔΡΟΜΟΛΌΓΙΟ ΤΟΥ ΣΤΙΣ 8:05 ΜΕ ΕΥΓΕΝΈΣΤΑΤΟ ΟΔΗΓΌ ΑΓΑΠΗΤΟΊ ΚΎΡΙΟΙ ΤΟΥ ΟΑΣΑ ΚΑΙ ΤΗΣ ΌΣΟΙ ΕΊΝΑΙ ΠΟΛΙΤΙΚΉ ΣΑΣ ΝΑ ΑΦΉΝΕΤΕ ΠΑΙΔΙΆ ΜΈΣΑ ΣΤΟ ΚΡΎΟ ΑΚΌΜΑ ΚΑΙ ΑΝ ΤΟ ΛΕΩΦΟΡΕΊΟ ΚΆΝΕΙ ΔΙΆΛΕΙΜΜΑ Η ΚΌΡΗ ΜΟΥ ΠΟΥ ΈΧΑΣΕ ΤΟ ΜΆΘΗΜΑ ΣΤΟ ΛΑΓΟΝΉΣΙ ΚΑΙ ΠΟΥ ΕΓΏ ΈΤΡΕΞΑ ΝΑ ΠΡΟΛΆΒΩ ΘΑ ΜΕ ΑΠΟΖΗΜΙΏΣΕΤΕ ΈΧΕΤΕ ΣΚΟΠΌ ΝΑ ΦΤΙΆΞΕΤΕ ΤΗ ΓΡΑΜΜΉ 122 ΠΟΤΈ ΜΕ ΜΕΓΆΛΗ ΑΓΑΝΆΚΤΗΣΗ ΜΆΓΚΑΣ ΚΩΝΣΤΑΝΤΊΝΟΣ ΣΤΗ ΔΙΆΘΕΣΉ ΣΑΣ ΦΩΤΟΓΡΑΦΊΑ ΜΕ ΤΟ ΛΕΩΦΟΡΕΊΟ ΝΑ ΚΆΝΕΙ ΔΙΆΛΕΙΜΜΑ ΜΠΡΟΣΤΆ ΣΤΗ ΣΤΆΣΗ ΤΟΥ ΤΈΡΜΑΤΟΣ ΚΆΤΙ ΠΟΥ ΚΑΤΆ ΤΗ ΓΝΏΜΗ ΜΟΥ ΕΊΝΑΙ ΑΠΑΡΆΔΕΚΤΗ,1,"(αποζημιωσετε,)"
1,"Παρακαλώ πολύ, σήμερα, Κυριακή, 30 /01 / 2022 και ώρα 7:32 μ.μ. το λεωφορείο με αριθμό δρομολογίου 509, με κατεύθυνση από Ζηρίνειο προς Άγιο Στέφανο Αττικής, δεν σταμάτησε στην στάση επί της λεωφόρου Θησέως, στην Εκάλη, στην πλατεία Βασιλέως Παύλου, παρόλο που του έκανε σήμα η κόρη μου, η οποία περίμενε μέσα στη νύχτα και στην παγωνιά,  Αντιθέτως ο οδηγός έτρεχε με υπερβολική, παράνομη ταχύτητα και δεν σταμάτησε 
 Παρακαλώ πολύ, όπως με ενημερώσετε για τα στοιχεία του συγκεκριμένου οδηγού, για το συγκεκριμένο δρομολόγιο, γιατί θα ασκήσω μήνυση εναντίον του, ασκώντας όλα τα νόμιμα δικαιώματά μου, επιφυλασσόμενη αυτών, καθόσον είμαι δικηγόρος. 
Σε τόσο δύσκολους καιρούς που ζούμε και ενόψει τόσο δύσκολων καιρικών συνθηκών , τέτοιες συμπεριφορές είναι απαράδεκτες και αδιανόητες !!!
  Ευχαριστώ πολύ
ΕΛΕΝΗ ΠΑΝΤΑΖΗ",1,"(μηνυση,)"
2,"Aπό χθες το πρωι δεν υπαρχει και δεν ξεκιναει κανενα τρολει απο την  αφετηρια ΛΑΜΠΡΙΝΗ στο ΓΑΛΑΤΣΙ παραλο που οι δρομο εχουν καθαριστει πληρως. 
Αυτο εκτος αυτο αυτοψια που σας προκαλω να κανετε μπορει να σας το επιβεβαιωσει και ο δημαρχος ΓΑΛΑΤΣΙΟΥ. 
1/ Επιπλεον δεν υπαρχει ΚΑΜΙΑ πληροφορηση σχετικα με το απο που ξενικανει το τρολει 14 και μεχρι που πηγαινει.   
2/ Για ποιον λογο υπαρχει το site εαν δεν μπορει να παρεχει σαφεις οδηγιες για τις αλλαγες των δρομολογιων; 
3/ Για οσοι απαντουν στο 11185 λενε μονο οτι ξεκιναει απο ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ και τιποτα αλλο; 
4/ Ειμαι υποχρεωμενη να βγω  στην ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ και να ψαχνω το 14, ειναι υπευθυνη , σοβαρη και πληρης πληροφορηση αυτη; 
Πρεπει να καταλαβετε επιτελους πως δεν εχει ολος ο κοσμος αυτοκινητα και λεφτα για  να πηγαινοερχεται στην δουλεια του. 
ζητω αποζημιωσει για οσες φορες πηρα ταξι εξαιτιας της ελλειπους πληροφορησης. 

ΑΝΑΜΕΝΩ ΑΜΕΣΗ ΑΠΑΝΤΗΣΗ ΣΑς, 
ΕΠΙΦΥΛΛΑΣΟΜΑΙ ΠΑΝΤΩΣ ΝΟΜΙΜΟΥ ΔΙΚΑΙΩΜΑΤΟΣ ΜΟΥ 
ΕΛΕΥΘΕΡΙΑΔΟΥ ΕΥΗ 
6937626969",1,"(αποζημιωσει,)"
3,Πρέπει να μετά κινηθώ στη εργασία μου στο Λαϊκό νοσοκομείο.,1,"(νοσοκομειο,)"
4,"Το πρωί του Σαββάτου, έχοντας σχολασει απ' τη δουλειά μου κι έχοντας το σκυλάκι μου μαζί μου (7,5 κιλά ζυγίζει), κάνω σήμα να σταματήσει το τρόλεϊ (αριθμός τρόλεϊ 7099) μπαίνουν μέσα οι υπόλοιποι που περίμεναν στη στάση (κρατικό Νίκαιας η στάση) σκύβω να πάρω αγκαλιά το σκυλακι για να μπούμε μέσα,με το που σηκώνομαι, βλέπω τις πόρτες να κλείνουν. Κι αρχίζω και χτυπάω το τζάμι ούτως ώστε να γίνω αντιληπτή. Ενώ ακόμα οι πόρτες δεν είχαν κλείσει κι ενώ δεν είχε ακόμα κουνηθεί από τη στάση. Παρ όλα αυτά με αγνόησε, οι πόρτες δεν άνοιξαν ξανά και πήρε μπρος κι έφυγε. Δεν έχω μόνο υποχρεώσεις σαν επιβάτης. Έχω και δικαιώματα. Όπως εγώ είμαι υποχρεωμένη να επικυρώνω το εισιτήριό μου (ακόμα και για 5 στάσεις που είναι η απόσταση από το σπίτι στη δουλειά και το αντίστροφο) για να μπορέσει να πληρωθεί ο οδηγός από το κράτος, δηλαδή από μένα... έτσι είναι κι εκείνος υποχρεωμένος να με σεβαστεί κι εφόσον έκλεισε τις πόρτες πριν επιβιβαστω, να τις ανοίξει ξανά. Αυτά όλα έγιναν για κλάσματα του δευτερολεπτου. Είναι η πρώτη φορά που κάνω εγγράφως καταγγελία, γιατί είναι και η πρώτη φορά που ένιωσα προσβολή από τον άνθρωπο που είναι η δουλειά του να με αφήσει να μπω μέσα κι όχι ότι μου κάνει χάρη.",1,"(χτυπαω,)"
5,"Αξιότιμε κύριε/ Αξιότιμη κυρία,

Σας γράφω ενώ τρέμω ολόκληρη από την σύγχυση. Σήμερα το πρωί όπως και κάθε μέρα εδώ και 3 χρόνια, κατευθυνόμουν προς την εργασία μου, η οποία βρίσκεται στην στάση ""Πολυτεχνείο"". Εδώ και 4 χρόνια, δεν μου έτυχε ποτέ να μην σταματήσει ειδικά σ' αυτή την στάση κάποιο λεωφορείο.

Σήμερα λοιπόν, είδα τον οδηγό απλά να την προσπερνάει, και νομίζοντας πως άλλαξε πάλι το δρομολόγιο, τον ρώτησα ευγενέστατα γιατί δεν έκανε στάση. κι εκεί άρχισε να μου μιλάει πάρα πολύ άσχημα, να φωνάζει μέσα στα νεύρα και να με προσβάλει, επειδή για πρώτη φορά στην ζωή μου έτυχε να μην χτυπήσω το κουδούνι. Ήταν λάθος μου,  το καταλαβαίνω, αλλά δεν μπορώ να δεχτώ αυτή την συμπεριφορά να μου φωνάζει αναίτια. Φυσικά εκεί κάπου αντέδρασα κι εγώ και φώναξα επειδή δεν μπορώ να ανεχτώ αυτή την συμπεριφορά από κανέναν.

Ταυτόχρονα άρχισε να βρίζει και ένας επιβάτης ο οποίος φαινόταν ότι απλά έψαχνε να μαλώσει και μου έκανε σφοδρότατη επίθεση, αλλά αυτό είναι ένα κομμάτι που δεν αφορά εσάς, απλά το αναφέρω, γιατί στην ουσία βρέθηκαν πρωινιάτικα δύο νταήδες ""κύριοι"" που τα έβαλαν με μια γυναίκα.

Ο οδηγός, μόλις ανέφερα ότι θα του κάνω καταγγελία για την συμπεριφορά του, άρχισε να μαζεύεται και να προσπαθεί να μαζέψει και τον επιβάτη. 

Θα παρακαλούσα μέσα από την καρδιά μου, να του γίνει κάποια σύσταση, γιατί δεν υπάρχει λόγος να ξεσπάει κάποιος τα νεύρα του στους επιβάτες. 

Η πινακίδα του λεωφορείου είναι ΧΕΚ 6012.

Σας ευχαριστώ πολύ.

Με εκτίμηση,
Ευαγγελία Μακρή",1,"(χτυπησω, επιθεση)"
6,"Στο λεωφορείο 035, σειρά 131 και αριθμό κυκλοφορίας ΥΝΝ9731, ο οδηγός βρισκόταν εντός του οχήματος, κάπνιζε και δε φορούσε μάσκα για μεγάλο διάστημα. Έκανε, δε, και τις δύο πράξεις με επιδεικτική αδιαφορία. Ξανά λοιπόν εισήλθα σε όχημα τεκέ όπου ο οδηγός συμπεριφερόταν στη δημόσια περιουσία, στον νόμο και τη δημόσια υγεία σαν να τα εξουσιάζει όλα ως ιδιοκτησίες του. Λυπάμαι αλλά καθώς το φαινόμενο αποκτά σφοδρή επανάληψιμότητα που ισούται με κουλτούρα ανοχής εντός του οργανισμού, δε θα υπομείνω εκ νέου τις ρομποτικές απαντήσεις σας περί συστάσεων κενού περιεχομένου και θα προβώ σε περαιτέρω νομικές ενέργειες στο αμέσως επόμενο περιστατικό παραβιάσης του νόμου από προσωπικό σας.",1,"(νομικες,)"
7,"Το λεωφορειο των 14:25 δεν εκτελεστηκε..Φυσικα δε θεωρησατε σκοπιμο να να γινει αντικατασταση του λεωφορειου ή του οδηγου.Ειναι ακρως απαραδεκτη η συμπεριφορα σας,το μονο που σας νοιαζει ειναι αν χτυπαμε τα εισητηρια κ τιποτα αλλο.Μολις γινονται οι αναφορες/καταγγελιες διορθωνεται το προβλημα για λιγο κ μετα ξανα ταλαιπορουμαστε!!!Ειναι μια απο τις χειροτερες γραμμες του λεκανοπεδιου το 446..",1,"(χτυπαμε,)"
8,Το λεωφορείο 10727  έχει πρόβλημα με τα φρένα του παρά λίγο να χτυπήσουμε μέσα στο λεωφορείο πιο προσεκτικοί οδηγήσει θα έλεγα,1,"(χτυπησουμε,)"
9,"Καλησπέρα,
Στις 30/12/2021 08:30 μέσω της εφαρμογής athenacard app πραγματοποίησα συναλλαγή αγοράς αποθηκευμένης αξίας 10€ (αριθμός συναλλαγής #5091133), όταν πήγα στο εκδοτήριο να φορτίσω την κάρτα δεν βρέθηκε αποθηκευμένη η χρηματική αξία και αναγκαστικά φόρτισα την κάρτα με άλλα 5€. Θέλω να κάνω πάλι αγορά ηλεκτρονικά αλλά δεν με αφήνει γιατί μου βγάζει το παρακάτω μήνυμα: ""Η Αποθηκευμένη Αξία είναι χρήματα αποθηκευμένα στην ATH.ENA Card σας, τα οποία μπορούν να χρησιμοποιηθούν ώς κόμιστρο για τη μετακίνηση σας στο δίκτυο μας

Αυτή η κάρτα έχει ήδη χρηματική αξία σε αναμονή για επαναφόρτιση και δεν μπορείτε να αγοράσετε περισσότερα""",1,"(χρησιμοποιηθουν,)"
